procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0    256 454288 432520 6825108    0    0     0     9    3    4  0  0 100  0  0
 0  0    256 458428 432520 6825140    0    0     0    62  892 2046  1  1 97  0  0
 0  0    256 458180 432520 6825124    0    0     0    15  597 1356  1  1 99  0  0
 0  0    256 455932 432520 6825128    0    0     0    18  768 1775  1  1 98  0  0
 0  0    256 455456 432520 6825128    0    0     0    14  434  889  1  1 99  0  0
 0  0    256 457256 432520 6825128    0    0     0    16  894 1979  1  1 98  0  0
 0  0    256 457776 432520 6825128    0    0     0    13  513 1205  1  1 98  0  0
 1  0    256 456864 432520 6825128    0    0     0     7 1073 2116  1  2 97  0  0
 0  0    256 458676 432520 6825128    0    0     0    13 1159 2350  1  1 98  0  0
 0  0    256 457356 432520 6825132    0    0     0    17 1329 2874  2  1 97  0  0
 0  0    256 452344 432520 6825132    0    0     0    50 1128 2219  1  1 98  0  0
 0  0    256 446684 432520 6825136    0    0     0    14 1274 2496  1  1 98  0  0
 0  0    256 452812 432520 6825136    0    0     0    11 1068 2239  1  1 98  0  0
 0  0    256 449144 432520 6825136    0    0     0    11 1406 2985  2  2 96  0  0
 0  0    256 448176 432520 6825172    0    0     0    13 1041 1907  1  1 98  0  0
 0  0    256 455332 432520 6825176    0    0     0    18 1427 2997  2  2 97  0  0
 0  0    256 452868 432520 6825252    0    0    15    12 1149 2467  1  1 98  0  0
 0  0    256 447528 432520 6825252    0    0     0    13 1473 2933  2  2 96  0  0
 0  0    256 452176 432520 6825252    0    0     0    12  971 1814  1  1 98  0  0
 1  0    256 450576 432520 6825292    0    0     8     7 1457 3005  2  2 96  0  0
 0  0    256 449624 432520 6825292    0    0     0    13 1084 2186  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 448760 432520 6825296    0    0     0    17 1316 2559  2  1 97  0  0
 0  0    256 449928 432520 6825296    0    0     0    12 1183 2377  1  1 98  0  0
 0  0    256 450788 432520 6825300    0    0     0    14 1442 2936  2  2 97  0  0
 0  0    256 449604 432520 6825300    0    0     0    13 1092 2167  1  1 98  0  0
 0  0    256 450776 432520 6825364    0    0    13    10 1223 2477  1  2 97  0  0
 0  0    256 458732 432520 6825380    0    0     0    13 1167 2348  1  1 98  0  0
 0  0    256 446460 432520 6825384    0    0     0    17 1427 2939  2  2 96  0  0
 0  0    256 449280 432520 6825388    0    0     0    14 1096 1993  1  1 98  0  0
 0  0    256 443832 432520 6825388    0    0     0    14 1350 2795  2  2 97  0  0
 0  0    256 445660 432520 6825388    0    0     0    37 1218 2361  1  1 97  0  0
 0  0    256 447048 432520 6825388    0    0     0    12 1351 2695  2  2 97  0  0
 0  0    256 445604 432520 6825392    0    0     0    20 1047 1982  1  1 98  0  0
 0  0    256 450228 432520 6825396    0    0     0    13 1366 2907  2  2 97  0  0
 0  0    256 444564 432520 6825392    0    0     0    12 1211 2382  1  1 98  0  0
 1  0    256 454772 432520 6825400    0    0     0     8 1405 2726  2  1 97  0  0
 0  0    256 449552 432520 6825400    0    0     0    18 1309 2568  1  1 97  0  0
 0  0    256 446920 432520 6825400    0    0     0    12 1393 2805  2  2 96  0  0
 0  0    256 443956 432520 6825404    0    0     0    18 1332 2411  1  1 97  0  0
 0  0    256 452892 432520 6825404    0    0     0     8 1479 3128  2  2 95  0  0
 0  0    256 450148 432520 6825404    0    0     0    17 1503 3118  1  2 97  0  0
 0  0    256 450228 432520 6825404    0    0     0    12 1386 2856  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 452948 432520 6825408    0    0     0    17 1401 2735  1  1 97  0  0
 0  0    256 450024 432520 6825612    0    0    41    14 1640 3349  2  1 97  0  0
 0  0    256 445028 432520 6825616    0    0     0    20 1340 2849  1  1 98  0  0
 0  0    256 449172 432520 6825572    0    0     0    14 1519 3167  2  2 96  0  0
 0  0    256 446720 432520 6825572    0    0     0    15 1440 2731  1  2 97  0  0
 0  0    256 451340 432520 6825576    0    0     0     7 1608 3311  2  2 97  0  0
 1  0    256 442536 432524 6825576    0    0     0    17 1530 3077  2  2 96  0  0
 0  0    256 442596 432524 6825576    0    0     0    16 1542 3100  1  2 97  0  0
 0  0    256 445192 432524 6825580    0    0     0    23 1651 3363  2  2 97  0  0
 4  0    256 440976 432524 6825580    0    0     0    16 1781 3547  1  2 97  0  0
 0  0    256 441204 432524 6825580    0    0     0     5 1746 3610  2  3 94  0  0
