procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 423412 432576 6829384    0    0     0   862 2126 4491  2  2 94  1  0
 0  0    256 424032 432576 6829496    0    0     0   800 1925 3993  2  3 94  1  0
 0  0    256 427936 432576 6829660    0    0     0   822 2102 4297  2  3 94  1  0
 0  0    256 423592 432576 6829736    0    0     0   815 2019 4133  2  3 95  1  0
 0  0    256 436072 432576 6829800    0    0     0   836 2294 4726  3  3 93  1  0
 0  0    256 433832 432576 6829864    0    0     0   906 2053 4203  2  2 95  1  0
 0  0    256 421412 432576 6829932    0    0     0   978 2104 4463  3  3 93  1  0
 0  0    256 427540 432576 6830024    0    0     0   894 2130 4475  2  3 95  1  0
 0  0    256 422060 432576 6830104    0    0     0   926 2396 4909  3  3 93  1  0
 1  0    256 426848 432576 6830168    0    0     0   854 2211 4471  3  4 92  1  0
 0  0    256 430312 432576 6830284    0    0     0   965 2456 5266  3  3 93  1  0
 0  0    256 429412 432576 6830392    0    0     0   969 2230 4715  3  3 94  1  0
 0  0    256 421716 432576 6830492    0    0     0  1145 2410 5238  3  3 93  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 427332 432576 6830608    0    0     0  1016 2251 4597  3  3 94  1  0
 0  0    256 421164 432576 6830768    0    0     0   994 2762 5632  3  4 91  1  0
 0  0    256 421164 432576 6830944    0    0     0  1054 2339 4883  2  2 94  1  0
 0  0    256 429096 432576 6831120    0    0     0  1086 2418 5045  3  3 93  1  0
 0  0    256 423160 432576 6831344    0    0     0  1136 2453 5405  3  3 93  1  0
 0  0    256 420172 432576 6831440    0    0     0  1384 2749 6107  3  3 92  2  0
 0  0    256 421636 432576 6831596    0    0     0  1286 2460 5167  2  3 94  1  0
 0  0    256 429376 432576 6831812    0    0     0  1228 2802 5732  3  3 93  2  0
 0  0    256 426528 432576 6831960    0    0     0  1245 2628 5567  3  3 93  2  0
 0  0    256 418808 432576 6832080    0    0     0  1306 2644 5717  3  3 93  2  0
 0  0    256 427088 432576 6832292    0    0     0  1294 2429 5278  2  3 93  1  0
 1  0    256 418384 432576 6832408    0    0     0  1473 3092 6599  4  4 90  1  0
 2  0    256 434100 432576 6832600    0    0     0  1646 2666 5676  3  3 92  2  0
 0  0    256 422812 432576 6832688    0    0    14  1274 2751 6188  3  4 91  2  0
 0  0    256 423428 432576 6832704    0    0     0  1244 2658 5654  3  4 92  2  0
 0  0    256 423864 432576 6832696    0    0     0  1313 3004 6371  4  3 91  2  0
 1  0    256 419432 432576 6832760    0    0     0  1330 2670 5815  3  3 92  2  0
 0  0    256 422288 432576 6832808    0    0     0  1419 3037 6276  4  5 90  1  0
 0  0    256 424964 432576 6832876    0    0     0  1318 3019 6544  3  5 90  1  0
 7  0    256 411116 432576 6833136    0    0     0  1370 3282 6858  4  5 90  2  0
 0  0    256 421060 432576 6833328    0    0     0  1218 2949 6266  5  6 88  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 421648 432576 6833396    0    0     0  1422 3099 6772  4  5 90  2  0
 0  0    256 418116 432576 6833588    0    0     0  1487 3244 6973  4  4 91  2  0
 0  0    256 423148 432576 6833740    0    0     0  1589 3225 6617  2  3 93  2  0
 0  0    256 420364 432576 6833892    0    0     0  1592 3403 7588  5  7 86  1  0
 0  0    256 421304 432576 6834088    0    0     0  1492 3126 6890  4  6 88  2  0
 1  1    256 413880 432576 6834256    0    0     5  1540 3590 7472  4  5 89  2  0
 5  1    256 419472 432576 6834352    0    0     0  1562 2830 6150  2  4 92  2  0
 0  0    256 418164 432576 6834660    0    0     0  1627 3679 7964  4  5 89  2  0
 0  0    256 423832 432576 6834748    0    0     0  1662 3423 7363  4  5 89  2  0
 0  0    256 412836 432576 6835004    0    0     0  1662 3540 7596  5  7 87  1  0
 0  0    256 420780 432576 6835244    0    0     0  1643 3324 6914  3  6 89  2  0
 0  0    256 421072 432576 6835388    0    0     0  1684 3676 8015  5  7 87  2  0
 0  0    256 412832 432576 6835564    0    0     0  1797 3654 7726  4  5 89  2  0
 0  0    256 420588 432576 6835760    0    0     0  1842 3471 7593  3  4 91  2  0
 0  0    256 421680 432576 6835880    0    0     0  1870 3459 7582  3  5 91  2  0
 2  0    256 417632 432576 6836172    0    0     0  1968 3821 8196  5  5 88  2  0
 0  0    256 417216 432576 6836316    0    0     0  1413 3028 6476  5  6 88  1  0
 0  0    256 410148 432576 6836588    0    0     0  1498 3557 7050  4  4 90  2  0
 0  0    256 415656 432576 6836816    0    0     0  1909 3612 8003  4  5 89  2  0
 0  0    256 409244 432576 6836984    0    0     0  1749 3445 7652  4  4 91  2  0
 0  0    256 414140 432576 6837168    0    0     0  1455 2931 6024  3  4 92  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 407684 432576 6837328    0    0     0  1195 2836 6058  3  3 92  2  0
 0  0    256 415216 432576 6837408    0    0     0   770 1844 3755  2  2 95  1  0
 2  0    256 412220 432576 6837448    0    0     0   492 1610 3477  2  2 96  1  0
 0  0    256 416024 432576 6837464    0    0     0   121  843 1473  1  1 97  0  0
 0  0    256 419800 432576 6837480    0    0     0    14  885 1946  1  2 97  0  0
 0  0    256 410304 432576 6837476    0    0     0    38  521 1192  1  1 99  0  0
 0  0    256 416620 432576 6837480    0    0     0    27  675 1435  1  1 98  0  0
 1  0    256 419224 432576 6837480    0    0     0   113  597 1264  1  1 98  0  0
 0  0    256 426112 432576 6837480    0    0     0    17  934 1986  2  1 97  0  0
 0  0    256 413524 432576 6837480    0    0     0    17  515 1143  1  1 99  0  0
 0  0    256 414344 432576 6837484    0    0     0    19  737 1525  1  1 97  0  0
 0  0    256 413340 432576 6837496    0    0     0    14  542 1221  1  1 98  0  0
 0  0    256 409100 432576 6837500    0    0     0    39  809 1798  1  1 98  0  0
 0  0    256 416184 432576 6837432    0    0     0   106  469  916  1  1 99  0  0
 0  0    256 411472 432576 6837428    0    0     0    17  846 1900  1  1 98  0  0
 0  0    256 412032 432576 6837432    0    0     0    41  592 1338  1  1 99  0  0
 1  0    256 414612 432576 6837436    0    0     0     9  567 1216  1  1 98  0  0
 0  0    256 419420 432576 6837572    0    0     0    58  689 1568  1  1 98  0  0
 0  0    256 418980 432580 6837580    0    0     0    22  686 1583  1  1 98  0  0
 0  0    256 415268 432580 6837580    0    0     0    27  671 1400  1  1 98  0  0
 0  0    256 412060 432580 6837580    0    0     0    20  584 1189  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    256 417928 432580 6837584    0    0     0    10  617 1411  1  1 98  0  0
 0  0    256 412404 432580 6837720    0    0     0    50  682 1479  1  1 98  0  0
 0  0    256 415980 432580 6837724    0    0     0   152  555 1117  1  1 99  0  0
 0  0    256 414492 432580 6837728    0    0     0   114  825 2041  1  1 98  0  0
