procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   1280 427136 432276 6736040    0    0     0     9    5    1  0  0 100  0  0
 0  0   1280 414144 432276 6736112    0    0     0   210 1089 2420  1  2 97  0  0
 0  0   1280 422028 432276 6736112    0    0     0     8  613 1401  1  1 98  0  0
 0  0   1280 416512 432276 6736124    0    0     0    26  622 1411  1  1 98  0  0
 0  0   1280 415304 432276 6736124    0    0     0    28 1001 1863  1  1 98  0  0
 0  0   1280 427244 432276 6736124    0    0     0    10 1396 3228  1  1 98  0  0
11  0   1280 420760 432276 6736080    0    0     0   161 1337 2962  2  2 97  0  0
 0  0   1280 412696 432276 6736080    0    0     0    43 1146 2545  1  1 98  0  0
 0  0   1280 419780 432276 6736088    0    0     0   136 1322 3076  1  1 98  0  0
 0  0   1280 417928 432276 6736196    0    0    21    74 1524 3163  2  3 95  0  0
 0  0   1280 413436 432276 6736196    0    0     0   116 1314 2992  1  1 98  0  0
 0  0   1280 420272 432276 6736280    0    0    16    82 1254 2711  2  2 97  0  0
 2  0   1280 417596 432276 6736296    0    0     0    25 1411 2907  1  2 97  0  0
 2  0   1280 418460 432276 6736296    0    0     0    12 1362 2991  1  1 97  0  0
 0  0   1280 420068 432276 6736296    0    0     0    20 1097 2484  1  2 97  0  0
 0  0   1280 411788 432276 6736300    0    0     0    20 1488 3359  2  2 97  0  0
 0  0   1280 419916 432276 6736300    0    0     0    15 1263 2857  1  1 98  0  0
 3  0   1280 411700 432276 6736300    0    0     0     5 1578 3221  3  2 95  0  0
 0  0   1280 418296 432276 6736340    0    0     0   150 1265 2420  1  1 98  0  0
 0  0   1280 420132 432276 6736340    0    0     0    26 1475 3282  2  2 97  0  0
 0  0   1280 414168 432276 6736340    0    0     0    11 1275 2657  2  2 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1280 413020 432276 6736344    0    0     0    33 1398 3019  2  1 97  0  0
 0  0   1280 415344 432280 6736348    0    0     0    17 1282 2843  1  1 98  0  0
 0  0   1280 415692 432280 6736348    0    0     0     6 1636 3490  2  2 96  0  0
 0  0   1280 413884 432280 6736348    0    0     0    14 1277 2738  1  1 98  0  0
 0  0   1280 414216 432280 6736348    0    0     0    26 1455 3106  2  2 95  0  0
 0  0   1280 418328 432280 6736348    0    0     0    10 1231 2793  1  1 98  0  0
 0  0   1280 411528 432280 6736352    0    0     0    22 1332 3002  1  1 97  0  0
 1  0   1280 412588 432280 6736352    0    0     0    23 1223 2426  2  2 96  0  0
 0  0   1280 411840 432280 6736352    0    0     0     5 1522 3286  2  1 97  0  0
 0  0   1280 411348 432280 6736376    0    0     0   172 1492 3051  1  1 97  0  0
 0  0   1280 408720 432280 6736376    0    0     0    46 1660 3294  2  2 96  0  0
 0  0   1280 408008 432280 6736380    0    0     0    14 1317 2735  1  1 99  0  0
 0  0   1280 411344 432280 6736384    0    0     0    10 1846 3865  3  2 95  0  0
 0  0   1280 413704 432280 6736468    0    0    16    18 1472 3107  2  1 97  0  0
 0  0   1280 411032 432280 6736476    0    0     0    47 1638 3460  1  2 97  0  0
 0  0   1280 411392 432280 6736480    0    0     0    15 1545 3150  2  3 95  0  0
 0  0   1280 411720 432280 6736480    0    0     0    13 1521 3458  2  2 97  0  0
 0  0   1280 417084 432280 6736484    0    0     0     7 1665 3227  1  1 98  0  0
 0  0   1280 421516 432280 6736484    0    0     0    18 1904 3977  3  3 94  0  0
 0  0   1280 422100 432280 6736484    0    0     0    54 1564 3389  1  1 98  0  0
 0  0   1280 411640 432280 6736484    0    0     0    16 1917 4078  2  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0   1280 416540 432280 6736508    0    0     0   182 1694 3345  2  3 95  0  0
 0  0   1280 407512 432280 6736508    0    0     0     9 1973 4317  2  1 97  0  0
 0  0   1280 406548 432280 6736512    0    0     0    51 1582 3569  2  2 96  0  0
 0  0   1280 416288 432284 6736520    0    0     0    16 1898 4033  2  2 95  0  0
 3  0   1280 412016 432284 6736520    0    0     0    12 1992 3922  1  1 98  0  0
 0  0   1280 410608 432284 6736520    0    0     0    13 2188 4610  3  3 93  0  0
 0  0   1280 411512 432284 6736520    0    0     0    22 1878 3764  1  1 98  0  0
 0  0   1280 405584 432284 6736520    0    0     0    38 2032 4171  1  1 97  0  0
 0  0   1280 413496 432284 6736524    0    0     0    16 1998 4228  3  3 95  0  0
 0  0   1280 406836 432284 6736524    0    0     0    15 1865 4387  2  1 97  0  0
 0  0   1280 414480 432284 6736524    0    0     0    12 1698 3660  1  1 97  0  0
 0  0   1280 409536 432284 6736524    0    0     0     7 2452 4902  3  3 94  0  0
 0  0   1280 412104 432284 6736552    0    0     0   159 2048 4477  1  1 98  0  0
 0  0   1280 413036 432284 6736552    0    0     0    15 2278 4836  3  3 94  0  0
 0  0   1280 412592 432284 6736556    0    0     0    43 2044 3916  1  2 97  0  0
 0  0   1280 418500 432284 6736556    0    0     0    11 2340 4953  2  1 97  0  0
 0  0   1280 410732 432284 6736556    0    0     0    13 2278 4483  3  3 94  0  0
 0  0   1280 413872 432284 6736556    0    0     0    12 2142 4512  2  1 97  0  0
 0  0   1280 412156 432284 6736556    0    0     0    15 2311 4683  1  1 98  0  0
 0  0   1280 408180 432284 6736560    0    0     0     7 2535 5358  3  4 92  0  0
 0  0   1280 407464 432284 6736560    0    0     0    16 2281 4651  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1280 406796 432284 6736560    0    0     0    24 2472 5239  2  2 95  0  0
 0  0   1280 413452 432284 6736560    0    0     0    12 2457 5236  2  3 94  0  0
 5  0   1280 417032 432284 6736560    0    0     0    13 2660 5323  2  1 97  0  0
 0  0   1280 413724 432284 6736468    0    0     0   152 2408 4877  3  4 93  0  0
 0  0   1280 419624 432284 6736468    0    0     0    15 2787 5764  3  2 95  0  0
 0  0   1280 417904 432284 6736472    0    0     0    38 2474 5269  2  1 97  0  0
 0  0   1280 414632 432284 6736472    0    0     0    16 2785 5445  5  4 91  0  0
 0  0   1280 413984 432284 6736472    0    0     0    44 2427 5315  2  2 97  0  0
 0  0   1280 413880 432284 6736476    0    0     0     7 2960 6183  2  3 95  0  0
 0  0   1280 413440 432284 6736476    0    0     0    15 2673 5514  3  4 92  0  0
 0  0   1280 426212 432284 6736480    0    0     0    16 2767 5602  2  2 97  0  0
