procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1280 434736 432284 6736480    0    0     0    14 2604 5408  2  2 95  0  0
 0  0   1280 421344 432284 6736480    0    0     0    22 2953 5940  3  4 92  0  0
 0  0   1280 435420 432284 6736480    0    0     0    12 2539 5317  1  1 99  0  0
 0  0   1280 423940 432284 6736484    0    0     0    10 3120 6300  5  5 90  0  0
 0  0   1280 426576 432284 6736508    0    0     0   172 2856 5678  1  2 97  0  0
 0  0   1280 422932 432284 6736512    0    0     0    40 2804 5684  2  2 96  0  0
 0  0   1280 431380 432284 6736512    0    0     0     6 2843 5455  3  5 92  0  0
 0  0   1280 422116 432284 6736512    0    0     0    31 3106 6233  2  1 97  0  0
 0  0   1280 423900 432284 6736512    0    0     0    15 2750 5668  2  2 97  0  0
 0  0   1280 421952 432284 6736516    0    0     0     5 2860 5971  3  4 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1280 421476 432284 6736516    0    0     0    29 2919 6051  1  1 98  0  0
 0  0   1280 418512 432284 6736488    0    0     0    11 3172 6470  3  4 93  0  0
 0  0   1280 418564 432284 6736488    0    0     0    16 2867 5765  2  3 94  0  0
 0  0   1280 418704 432284 6736488    0    0     0    25 3070 6223  2  2 97  0  0
 0  0   1280 418704 432284 6736492    0    0     0    14 3018 5972  4  5 91  0  0
 0  0   1280 414440 432284 6736492    0    0     0     6 3312 6725  2  2 95  0  0
 1  0   1280 416600 432284 6736516    0    0     0   187 3007 6163  2  2 96  0  0
 0  0   1280 413296 432284 6736524    0    0     0    28 3547 6978  5  6 89  0  0
 0  0   1280 426604 432284 6736524    0    0     0     7 3242 6284  1  1 98  0  0
 0  0   1280 410980 432284 6736528    0    0     1    14 3095 6722  3  3 94  0  0
 0  0   1280 412204 432284 6736528    0    0     0    19 3141 6494  3  4 92  0  0
 0  0   1280 407192 432284 6736528    0    0     0     7 3334 6864  2  2 96  0  0
 0  0   1280 406352 432284 6736532    0    0     0    16 3061 6468  4  5 91  0  0
 1  0   1280 411048 432284 6736532    0    0     0    15 3366 6806  2  4 94  0  0
 0  0   1280 409192 432284 6736532    0    0     0    16 3204 6475  1  2 97  0  0
 5  0   1280 387652 432284 6736532    0    0     0    18 3583 7379  5  6 88  0  0
 0  0   1280 404708 432284 6736536    0    0     0    13 2856 6140  1  1 98  0  0
 2  0   1280 410580 432284 6736536    0    0     0     5 3336 6965  2  3 94  0  0
 0  0   1280 407384 432284 6736564    0    0     0   167 3725 7936  6  7 86  0  0
 0  0   1280 412492 432284 6736564    0    0     0    26 3441 7095  1  1 97  0  0
 0  0   1280 428948 432284 6736692    0    0    26    28 3652 7412  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1280 427576 432284 6736692    0    0     0    18 3594 7030  3  4 93  0  0
 0  0   1280 421168 432284 6736692    0    0     0    19 3748 8120  3  2 95  0  0
 0  0   1280 417548 432284 6736680    0    0     0     6 3629 7212  5  6 89  0  0
 0  0   1280 423100 432284 6736668    0    0     0    34 3793 8305  3  3 94  0  0
 0  0   1280 421896 432284 6736672    0    0     0    16 3568 7580  2  3 95  0  0
 0  0   1280 424280 432284 6736672    0    0     0    16 3925 8379  6  9 85  0  0
 0  0   1280 423580 432284 6736672    0    0     0    18 3717 7377  1  1 97  0  0
 0  0   1280 427000 432284 6736672    0    0     0    14 3922 8530  4  3 93  0  0
 2  0   1280 420052 432284 6736672    0    0     0    13 3820 7823  3  7 90  0  0
 0  0   1280 417256 432284 6736708    0    0     0   161 4026 8288  3  2 95  0  0
 0  0   1280 411908 432284 6736708    0    0     0    29 3774 7575  4  5 91  0  0
 2  0   1280 407308 432284 6736708    0    0     0     7 4044 8483  3  4 93  0  0
 2  0   1280 415016 432284 6736708    0    0     0     7 3622 7332  2  1 97  0  0
 0  0   1280 424816 432284 6736708    0    0     0     7 4284 8979  6  8 86  0  0
 0  0   1280 427448 432284 6736696    0    0     0     9 3771 7847  2  2 96  0  0
 0  0   1280 426284 432284 6736712    0    0     0    24 4366 8963  4  4 92  0  0
 0  0   1280 424660 432284 6736716    0    0     0     8 3951 7645  4  5 91  0  0
 0  0   1280 418932 432284 6736716    0    0     0    16 4313 8701  2  1 96  0  0
 3  0   1280 422996 432284 6736716    0    0     0    11 4142 8143  3  3 94  0  0
 4  0   1280 426704 432284 6736744    0    0     6     7 4351 8993  3  5 92  0  0
 0  0   1280 427228 432284 6736748    0    0     0     7 4145 8357  2  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1280 425852 432284 6736668    0    0     0   146 4660 9728  5  8 87  0  0
 0  0   1280 424652 432284 6736668    0    0     0    27 4161 8022  2  2 96  0  0
 0  0   1280 429236 432284 6736668    0    0     0    54 4210 8796  2  3 95  0  0
 3  0   1280 428156 432284 6736668    0    0     0    38 4362 8357  6  9 85  0  0
 0  0   1280 422740 432284 6736736    0    0    14    12 4518 9230  2  2 96  0  0
 5  0   1280 424904 432284 6736740    0    0     0    16 4218 8219  3  3 94  0  0
 0  0   1280 423704 432284 6736776    0    0     0    15 4689 9287  5  6 89  0  0
 0  0   1280 416148 432284 6736776    0    0     0    15 3997 8392  2  2 96  0  0
 0  0   1280 418504 432284 6736776    0    0     0    12 4843 9567  5  7 88  0  0
 1  0   1280 418252 432284 6736776    0    0     0    10 4263 8455  2  4 93  0  0
 0  0   1280 415328 432284 6736760    0    0     0    17 4717 9909  3  4 93  0  0
 0  0   1280 412416 432284 6736768    0    0     0    18 4478 9053  6  8 87  0  0
 0  0   1280 409500 432284 6736792    0    0     0   174 4701 9473  3  4 93  0  0
 1  0   1280 408612 432284 6736776    0    0     0    13 4468 8730  2  3 95  0  0
 0  0   1280 410764 432284 6736776    0    0     0    12 4879 9574  6  8 86  0  0
 0  0   1280 404068 432284 6736776    0    0     0    15 4520 8616  2  2 96  0  0
 4  0   1280 411044 432284 6736776    0    0     0     7 4692 9160  5  7 89  0  0
 0  0   1280 404928 432284 6736788    0    0     0    34 4636 8749  4  5 91  0  0
 0  0   1280 406248 432288 6736788    0    0     0    19 5033 9723  3  3 94  0  0
 1  0   1280 405764 432288 6736788    0    0     0    15 4473 8302  5  6 89  0  0
 4  0   1280 404040 432288 6736788    0    0     0     7 4923 9791  3  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1280 412188 432288 6736788    0    0     0    12 4652 8644  3  3 94  0  0
 0  0   1280 407492 432288 6736792    0    0     0    12 4986 9981  7 10 82  0  0
 0  0   1280 418532 432288 6736792    0    0     0    15 4249 8043  1  1 98  0  0
 0  0   1280 406268 432288 6736816    0    0     0   156 4243 8687  2  3 95  0  0
 0  0   1280 405660 432288 6736816    0    0     0    34 3270 6849  3  5 92  0  0
 0  0   1280 411188 432288 6736816    0    0     0    12 2653 5376  1  1 98  0  0
 0  0   1280 409776 432288 6736816    0    0     0    13 1713 3435  1  1 98  0  0
 0  0   1280 412432 432288 6736840    0    0     0    89 1302 2556  2  2 96  0  0
 0  0   1280 410960 432288 6736872    0    0     0   213  928 1935  1  1 98  1  0
 0  0   1280 405264 432288 6736888    0    0     0   194 1094 2422  2  2 96  0  0
 0  0   1280 419444 432288 6736920    0    0     0   188 1035 2096  1  1 97  0  0
 0  0   1280 407944 432288 6736952    0    0     0   205 1185 2553  2  1 97  0  0
 0  0   1280 406432 432288 6737032    0    0     0   210  861 1805  1  1 97  0  0
 0  0   1280 405832 432288 6737088    0    0     0   186 1249 2822  1  2 97  0  0
 0  0   1280 406208 432288 6737152    0    0     0   219  874 1944  1  1 97  0  0
 0  0   1280 408048 432288 6737256    0    0     0   352 1128 2342  2  1 96  0  0
 0  0   1280 410328 432288 6737352    0    0     0   194 1005 2047  1  1 98  0  0
 0  0   1280 417316 432288 6737392    0    0     0   191 1286 2823  2  2 96  0  0
 0  0   1280 421228 432288 6737444    0    0     0   236  911 1824  1  1 97  0  0
 0  0   1280 426892 432288 6737480    0    0     0   212 1128 2425  2  2 96  1  0
 0  0   1280 425972 432288 6737512    0    0     0   198 1021 2172  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0   1280 415476 432288 6737564    0    0     0   193 1208 2680  2  2 96  1  0
 0  0   1280 420896 432288 6737612    0    0     0   210  856 1678  1  1 98  0  0
 0  0   1280 419996 432288 6737644    0    0     0   194 1188 2585  2  2 96  0  0
 0  0   1280 419492 432288 6737704    0    0     0   226  925 1977  1  1 97  2  0
 0  0   1280 422384 432288 6737736    0    0     0   185 1210 2553  2  1 96  1  0
 1  0   1280 423960 432288 6737784    0    0     0   192  886 1755  1  1 97  0  0
 0  0   1280 415328 432288 6737856    0    0     0   333 1358 3041  2  1 96  1  0
 0  0   1280 416948 432288 6737888    0    0     0   227  910 2027  1  1 97  0  0
 0  0   1280 424700 432288 6737956    0    0     0   193 1194 2516  2  1 96  0  0
 0  0   1280 423508 432288 6738008    0    0     0   204  948 2029  1  1 97  1  0
 0  0   1280 443708 432288 6738024    0    0     0   218 1361 2813  2  2 96  1  0
 0  0   1280 438180 432288 6738076    0    0     0   210 1033 2146  1  1 97  1  0
 0  0   1280 427976 432288 6738172    0    0     0   218 1230 2822  2  2 95  0  0
